0|4|0|5
1|6|6|13
2|20|14|21
3|22|22|28
4|34|29|35
5|36|36|42
6|49|43|50
7|51|51|58
8|65|59|66
9|67|67|73
10|79|74|80
11|81|81|87
12|94|88|95
13|96|96|102
14|109|103|110
15|111|111|118
16|125|119|126
17|127|127|134
18|141|135|142
19|143|143|150
20|158|151|159
21|160|160|166
22|173|167|174
23|175|175|181
24|188|182|189
25|190|190|197
26|205|198|206
27|207|207|215
28|224|216|225
29|226|226|236
30|246|237|247
31|248|248|255
